Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
0.95,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Standoff"",  ""The Standoff"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rustic_Sash"",  ""Rustic Sash"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Torched_Courts_(Act_5)"",  ""The Torched Courts (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Torched_Courts_(Act_10)"",  ""The Torched Courts (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lava_Chamber_Map_(Betrayal)"",  ""Lava Chamber Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forge_of_the_Phoenix_Map_(Betrayal)"",  ""Forge of the Phoenix Map"")","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Stormcaller"",  ""The Stormcaller"")",4,"=HYPERLINK("""",  ""Agnerod Staff"")","","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Summoner"",  ""The Summoner"")",6,"=HYPERLINK("""",  ""Superior Minion GemQuality: +20%"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fetid_Pool"",  ""The Fetid Pool"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lower_Prison_(Act_1)"",  ""The Lower Prison (Act 1)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Prison"",  ""The Upper Prison"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crypt_Level_2"",  ""The Crypt Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_1_(Act_2)"",  ""The Chamber of Sins Level 1 (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_2)"",  ""The Chamber of Sins Level 2 (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Catacombs"",  ""The Catacombs"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cells_Map_(Betrayal)"",  ""Cells Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cursed_Crypt_Map_(Betrayal)"",  ""Cursed Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dungeon_Map_(Betrayal)"",  ""Dungeon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sun"",  ""The Sun"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rise_of_the_Phoenix"",  ""Rise of the Phoenix"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_1_(Act_3)"",  ""The Solaris Temple Level 1 (Act 3)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_2_(Act_3)"",  ""The Solaris Temple Level 2 (Act 3)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_1_(Act_8)"",  ""The Solaris Temple Level 1 (Act 8)"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Surgeon"",  ""The Surgeon"")",4,"=HYPERLINK("""",  ""Surgeon's Flask"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_1_(Act_7)"",  ""The Chamber of Sins Level 1 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_7)"",  ""The Chamber of Sins Level 2 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Shrine_Map_(Betrayal)"",  ""Overgrown Shrine Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Surveyor"",  ""The Surveyor"")",4,"=HYPERLINK("""",  ""MapMap Tier: 14"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Core_Map_(Betrayal)"",  ""Core Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Malformation_Map_(Betrayal)"",  ""Malformation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Phantasmagoria_Map_(Betrayal)"",  ""Phantasmagoria Map"")","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Survivalist"",  ""The Survivalist"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Orb_of_Alchemy"",  ""7x Orb of Alchemy"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wetlands_(Act_2)"",  ""The Wetlands (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sword_King%27s_Salute"",  ""The Sword King's Salute"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Daresso%27s_Salute"",  ""Daresso's Salute"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colosseum_Map_(Betrayal)"",  ""Colosseum Map"")","","","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Thaumaturgist"",  ""The Thaumaturgist"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Shavronne%27s_Revelation"",  ""Shavronne's RevelationCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shrine_Map_(Betrayal)"",  ""Shrine Map"")","","","","","","",N/A
7.8,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Throne"",  ""The Throne"")",2,"=HYPERLINK(""https://pathofexile.gamepedia.com/Kaom%27s_Roots"",  ""Kaom's RootsCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_of_the_Hydra_Map_(Betrayal)"",  ""Lair of the Hydra Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Toxic_Sewer_Map_(Betrayal)"",  ""Toxic Sewer Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waste_Pool_Map_(Betrayal)"",  ""Waste Pool Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tower"",  ""The Tower"")",6,"=HYPERLINK("""",  ""Staff"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sceptre_of_God"",  ""The Sceptre of God"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Sceptre_of_God"",  ""The Upper Sceptre of God"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Residence_Map_(Betrayal)"",  ""Residence Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Traitor"",  ""The Traitor"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""WandCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Battlefront"",  ""The Battlefront"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sarn_Ramparts"",  ""The Sarn Ramparts"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Promenade_Map_(Betrayal)"",  ""Promenade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ramparts_Map_(Betrayal)"",  ""Ramparts Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Trial"",  ""The Trial"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""MapMap Tier: 15Corrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arachnid_Nest_Map_(Betrayal)"",  ""Arachnid Nest Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arachnid_Tomb_Map_(Betrayal)"",  ""Arachnid Tomb Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arena_Map_(Betrayal)"",  ""Arena Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Armoury_Map_(Betrayal)"",  ""Armoury Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bazaar_Map_(Betrayal)"",  ""Bazaar Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Belfry_Map_(Betrayal)"",  ""Belfry Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bog_Map_(Betrayal)"",  ""Bog Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colonnade_Map_(Betrayal)"",  ""Colonnade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Coral_Ruins_Map_(Betrayal)"",  ""Coral Ruins Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courtyard_Map_(Betrayal)"",  ""Courtyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Coves_Map_(Betrayal)"",  ""Coves Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cursed_Crypt_Map_(Betrayal)"",  ""Cursed Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dunes_Map_(Betrayal)"",  ""Dunes Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Estuary_Map_(Betrayal)"",  ""Estuary Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Factory_Map_(Betrayal)"",  ""Factory Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Gardens_Map_(Betrayal)"",  ""Gardens Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Geode_Map_(Betrayal)"",  ""Geode Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beachhead_(Mid_Tier)_(Betrayal)"",  ""The Beachhead (Mid Tier)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Infested_Valley_Map_(Betrayal)"",  ""Infested Valley Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Laboratory_Map_(Betrayal)"",  ""Laboratory Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_Map_(Betrayal)"",  ""Lair Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lava_Chamber_Map_(Betrayal)"",  ""Lava Chamber Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mausoleum_Map_(Betrayal)"",  ""Mausoleum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mesa_Map_(Betrayal)"",  ""Mesa Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Moon_Temple_Map_(Betrayal)"",  ""Moon Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mud_Geyser_Map_(Betrayal)"",  ""Mud Geyser Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Putrid_Cloister_(Betrayal)"",  ""The Putrid Cloister"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Orchard_Map_(Betrayal)"",  ""Orchard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pier_Map_(Betrayal)"",  ""Pier Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_Map_(Betrayal)"",  ""Pit Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Plateau_Map_(Betrayal)"",  ""Plateau Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Precinct_Map_(Betrayal)"",  ""Precinct Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Primordial_Pool_Map_(Betrayal)"",  ""Primordial Pool Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Promenade_Map_(Betrayal)"",  ""Promenade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ramparts_Map_(Betrayal)"",  ""Ramparts Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Residence_Map_(Betrayal)"",  ""Residence Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Scriptorium_Map_(Betrayal)"",  ""Scriptorium Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sepulchre_Map_(Betrayal)"",  ""Sepulchre Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shipyard_Map_(Betrayal)"",  ""Shipyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shore_Map_(Betrayal)"",  ""Shore Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Siege_Map_(Betrayal)"",  ""Siege Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Forest_Map_(Betrayal)"",  ""Spider Forest Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Temple_Map_(Betrayal)"",  ""Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tribunal_Map_(Betrayal)"",  ""Tribunal Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tropical_Island_Map_(Betrayal)"",  ""Tropical Island Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_River_Map_(Betrayal)"",  ""Underground River Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Caer_Blaidd,_Wolfpack%27s_Den_(Betrayal)"",  ""Caer Blaidd, Wolfpack's Den"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Pyramid_Map_(Betrayal)"",  ""Vaal Pyramid Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vault_Map_(Betrayal)"",  ""Vault Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wasteland_Map_(Betrayal)"",  ""Wasteland Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waste_Pool_Map_(Betrayal)"",  ""Waste Pool Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waterways_Map_(Betrayal)"",  ""Waterways Map"")",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Twilight_Moon"",  ""The Twilight Moon"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Twilight_Temple_(War_for_the_Atlas)"",  ""The Twilight Temple"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Moon_Temple_Map_(Betrayal)"",  ""Moon Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Temple_Map_(Betrayal)"",  ""Temple Map"")","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Twins"",  ""The Twins"")",8,"=HYPERLINK("""",  ""Gemini Claw of CelebrationItem Level: 83"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Moon_Temple_Map_(Betrayal)"",  ""Moon Temple Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tyrant"",  ""The Tyrant"")",9,"=HYPERLINK("""",  ""Merciless WeaponItem Level: 100"")","","","","","","","",N/A
10.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Undaunted"",  ""The Undaunted"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Nemesis ItemCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Basilica_Map_(Betrayal)"",  ""Basilica Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courthouse_Map_(Betrayal)"",  ""Courthouse Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Precinct_Map_(Betrayal)"",  ""Precinct Map"")","","","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Undisputed"",  ""The Undisputed"")",8,"=HYPERLINK("""",  ""Merciless Vaal AxeItem Level: 100Elder Item"")","","","","","","","","This item can be acquired from Chayula, Who Dreamt"
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Union"",  ""The Union"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Gemcutter%27s_Prism"",  ""10x Gemcutter's Prism"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cemetery_Map_(Betrayal)"",  ""Cemetery Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Graveyard_Map_(Betrayal)"",  ""Graveyard Map"")","","","","","",N/A
4.46,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Valkyrie"",  ""The Valkyrie"")",8,"=HYPERLINK("""",  ""Nemesis Item"")","","","","","","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Valley_of_Steel_Boxes"",  ""The Valley of Steel Boxes"")",9,"=HYPERLINK("""",  ""Monstrous Treasure"")","","","","","","","",Strongbox
8.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vast"",  ""The Vast"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Song_of_the_Sirens"",  ""Song of the Sirens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Coral_Ruins_Map_(Betrayal)"",  ""Coral Ruins Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Visionary"",  ""The Visionary"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lioneye%27s_Vision"",  ""Lioneye's Vision"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grand_Arena"",  ""The Grand Arena"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colosseum_Map_(Betrayal)"",  ""Colosseum Map"")","","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Void"",  ""The Void"")",1,"=HYPERLINK("""",  ""N/A"")","","","","","","","",N/A
0.5,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Warden"",  ""The Warden"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""AmuletCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lower_Prison_(Act_1)"",  ""The Lower Prison (Act 1)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Prison"",  ""The Upper Prison"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Slave_Pens"",  ""The Slave Pens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lower_Prison_(Act_6)"",  ""The Lower Prison (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shavronne%27s_Tower"",  ""Shavronne's Tower"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cage_Map_(Betrayal)"",  ""Cage Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dungeon_Map_(Betrayal)"",  ""Dungeon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Warlord"",  ""The Warlord"")",6,"=HYPERLINK("""",  ""Six-Link Coronal MaulItem Level: 83"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arsenal_Map_(Betrayal)"",  ""Arsenal Map"")","","","","","","",N/A
0.47,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Watcher"",  ""The Watcher"")",12,"=HYPERLINK(""https://pathofexile.gamepedia.com/Crown_of_Eyes"",  ""Crown of Eyes"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","","","","","","",N/A
0.72,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Web"",  ""The Web"")",8,"=HYPERLINK("""",  ""Weapon of Crafting"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Weaver%27s_Chambers"",  ""The Weaver's Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arachnid_Nest_Map_(Betrayal)"",  ""Arachnid Nest Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arachnid_Tomb_Map_(Betrayal)"",  ""Arachnid Tomb Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Lair_Map_(Betrayal)"",  ""Spider Lair Map"")","","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wilted_Rose"",  ""The Wilted Rose"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Level 21 Aura GemCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Acton%27s_Nightmare_(Betrayal)"",  ""Acton's Nightmare"")","","","","","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wind"",  ""The Wind"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Windripper"",  ""Windripper"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Atoll_Map_(Betrayal)"",  ""Atoll Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Jungle_Valley_Map_(Betrayal)"",  ""Jungle Valley Map"")","","","","","",N/A
0.57,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Witch"",  ""The Witch"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Kiara%27s_Determination"",  ""Kiara's Determination"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Burial_Chambers_Map_(Betrayal)"",  ""Burial Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Forest_Map_(Betrayal)"",  ""Spider Forest Map"")","","","","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wolf"",  ""The Wolf"")",5,"=HYPERLINK("""",  ""Rigwald Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Mine_Map_(Betrayal)"",  ""Flooded Mine Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wolf%27s_Shadow"",  ""The Wolf's Shadow"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Hyaon%27s_Fury"",  ""Hyaon's Fury"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_Map_(Betrayal)"",  ""Lair Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_River_Map_(Betrayal)"",  ""Underground River Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Caer_Blaidd,_Wolfpack%27s_Den_(Betrayal)"",  ""Caer Blaidd, Wolfpack's Den"")","","","","",N/A
40.99,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wolven_King%27s_Bite"",  ""The Wolven King's Bite"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rigwald%27s_Quills"",  ""Rigwald's Quills"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dark_Forest_Map_(Betrayal)"",  ""Dark Forest Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_Map_(Betrayal)"",  ""Lair Map"")","","","","","",N/A
0.57,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wolverine"",  ""The Wolverine"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""ClawCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Prisoner%27s_Gate_(Act_6)"",  ""Prisoner's Gate (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Gorge_Map_(Betrayal)"",  ""Gorge Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Summit_Map_(Betrayal)"",  ""Summit Map"")","","","","",N/A
24.77,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_World_Eater"",  ""The World Eater"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Starforge"",  ""Starforge"")","","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wrath"",  ""The Wrath"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chaos_Orb"",  ""10x Chaos Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cathedral_Rooftop_(Act_5)"",  ""The Cathedral Rooftop (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Canals"",  ""The Canals"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Feeding_Trough"",  ""The Feeding Trough"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cavern_of_Anger_(Act_6)"",  ""The Cavern of Anger (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Belfry_Map_(Betrayal)"",  ""Belfry Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lava_Lake_Map_(Betrayal)"",  ""Lava Lake Map"")","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wretched"",  ""The Wretched"")",6,"=HYPERLINK("""",  ""Belt"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cells_Map_(Betrayal)"",  ""Cells Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Coward%27s_Trial_(Betrayal)"",  ""The Coward's Trial"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dungeon_Map_(Betrayal)"",  ""Dungeon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Necropolis_Map_(Betrayal)"",  ""Necropolis Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Acton%27s_Nightmare_(Betrayal)"",  ""Acton's Nightmare"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Torture_Chamber_Map_(Betrayal)"",  ""Torture Chamber Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Three_Faces_in_the_Dark"",  ""Three Faces in the Dark"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chaos_Orb"",  ""3x Chaos Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Marketplace"",  ""The Marketplace"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Fields"",  ""The Imperial Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grain_Gate"",  ""The Grain Gate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Refinery"",  ""The Refinery"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arsenal_Map_(Betrayal)"",  ""Arsenal Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Factory_Map_(Betrayal)"",  ""Factory Map"")","",N/A
